BLOCK_NAME,TIMEPOINT_ID
001-01,0
001-01,1
001-01,2
001-01,3
001-01,4
001-01,5
001-01,6
001-01,7
001-01,8
001-01,9
001-01,10
001-01,11
001-01,12
001-01,13
001-01,14
001-01,15
001-01,16
001-01,17
001-01,18
001-01,19
001-01,20
001-01,21
001-01,22
001-01,23
001-01,24
001-01,25
001-01,26
001-01,27
001-01,28
001-01,29
001-01,30
001-01,31
001-01,32
001-01,33
001-01,34
001-01,35
001-01,36
001-01,37
001-01,38
001-01,39
001-01,40
001-01,41
001-01,42
001-01,43
001-01,44
001-01,45
001-01,46
001-01,47
001-01,48
001-01,49
001-01,50
001-01,51
001-01,52
001-01,53
001-01,54
001-01,55
001-01,56
001-01,57
001-01,58
001-01,59
001-01,60
001-01,61
001-01,62
001-01,63
001-01,64
001-01,65
001-01,66
001-01,67
001-01,68
001-01,69
001-01,70
001-01,71
001-01,72
001-01,73
001-01,74
001-01,75
001-01,76
001-01,77
001-01,78
001-01,79
001-01,80
001-01,81
001-01,82
001-01,83
001-01,84
001-01,85
001-01,86
001-01,87
001-01,88
001-01,89
001-01,90
001-01,91
001-01,92
001-01,93
001-01,94
001-01,95
001-01,96
001-01,97
001-01,98
001-01,99
001-01,100
001-01,101
001-01,102
001-01,103
001-01,104
001-01,105
001-01,106
001-01,107
001-01,108
001-01,109
001-02,110
001-02,111
001-02,112
001-02,113
001-02,114
001-02,115
001-02,116
001-02,117
001-02,118
001-02,119
001-02,120
001-02,121
001-02,122
001-02,123
001-02,124
001-02,125
001-02,126
001-02,127
001-02,128
001-02,129
001-02,130
001-02,131
001-02,132
001-02,133
001-02,134
001-02,135
001-02,136
001-02,137
001-02,138
001-02,139
001-02,140
001-02,141
001-02,142
001-02,143
001-02,144
001-02,145
001-02,146
001-02,147
001-02,148
001-02,149
001-02,150
001-02,151
001-02,152
001-02,153
001-02,154
001-02,155
001-02,156
001-02,157
001-02,158
001-02,159
001-02,160
001-02,161
001-02,162
001-02,163
001-02,164
001-02,165
001-02,166
001-02,167
001-02,168
001-02,169
001-02,170
001-02,171
001-02,172
001-02,173
001-02,174
001-02,175
001-02,176
001-02,177
001-02,178
001-02,179
001-02,180
001-02,181
001-02,182
001-02,183
001-02,184
001-02,185
001-02,186
001-02,187
001-02,188
001-02,189
001-02,190
001-02,191
001-02,192
001-02,193
001-02,194
001-02,195
001-02,196
001-02,197
001-02,198
001-02,199
001-02,200
001-02,201
001-02,202
001-02,203
001-02,204
001-02,205
001-02,206
001-02,207
001-02,208
001-02,209
001-02,210
001-02,211
001-02,212
001-02,213
001-02,214
001-02,215
001-02,216
001-02,217
001-02,218
001-02,219
001-02,220
001-02,221
001-02,222
001-02,223
001-02,224
001-02,225
001-02,226
001-02,227
001-02,228
001-02,229
001-03,230
001-03,231
001-03,232
001-03,233
001-03,234
001-03,235
001-03,236
001-03,237
001-03,238
001-03,239
001-03,240
001-03,241
001-03,242
001-03,243
001-03,244
001-03,245
001-03,246
001-03,247
001-03,248
001-03,249
001-03,250
001-03,251
001-03,252
001-03,253
001-03,254
001-03,255
001-03,256
001-03,257
001-03,258
001-03,259
001-03,260
